gap_y,gap_height,time
0.5775406005493451,0.22399103342375,2
0.5104780025861679,0.20127566728458574,4
0.3061404227628893,0.23325909949669626,6
0.4245397440046437,0.20191500252368952,8
0.2584530781541897,0.2954097617490484,10
0.27446648712519095,0.2831789999753267,12
0.506433531328389,0.211836401001295,14
0.37386735720472963,0.24302823814891739,16
0.5274050726714475,0.2466723868122961,18
0.7980255376222971,0.2546783687388833,20
0.7292787014519777,0.2888596717883921,22
0.30113567082915865,0.26547284646686203,24
0.29207670724519375,0.26841070875317974,26
0.6470061693749591,0.2817452162907737,28
0.267567309129365,0.26591125005712923,30
0.6737206335481836,0.20155882096602482,32
0.524929971411005,0.24581421595468894,34
0.24667629637041252,0.2937096063642815,36
0.6296632977286309,0.2901481717098438,38
0.5408551040055667,0.22156365218583682,40
